02.01.2022,34,60,13,20.0,2.0
03.01.2022,34,60,14,20.0,10.0
05.01.2022,34,61,14,20.0,10.0
09.01.2022,34,62,13,20.0,1.0
15.01.2022,34,62,13,20.0,1.0
10.01.2022,34,62,15,25.0,11.0
02.01.2022,34,62,14,20.0,1.0
04.01.2022,34,62,15,25.0,1.0
11.01.2022,34,64,19,2.0,1.0
03.01.2022,34,64,19,2.0,3.0
03.01.2022,34,64,19,2.0,2.0
05.01.2022,34,65,19,2.0,1.0
07.01.2022,34,65,19,2.0,1.0
08.01.2022,34,65,19,2.0,2.0
10.01.2022,34,65,19,2.0,1.0
11.01.2022,34,66,19,2.0,2.0
13.01.2022,34,66,19,2.0,1.0
19.01.2022,34,66,19,2.0,1.0
29.01.2022,34,66,19,2.0,1.0
27.01.2022,34,66,18,100.0,1.0
09.01.2022,34,67,18,100.0,1.0
19.01.2022,34,67,18,100.0,1.0
27.01.2022,34,67,18,100.0,1.0
27.01.2022,34,67,18,100.0,1.0
29.01.2022,34,67,18,100.0,1.0
27.01.2022,34,67,18,100.0,1.0
09.01.2022,34,62,18,100.0,1.0
29.01.2022,34,62,18,100.0,1.0
02.01.2022,34,62,18,100.0,1.0
09.01.2022,34,62,18,100.0,1.0
07.01.2022,34,62,18,100.0,1.0
11.01.2022,34,62,18,100.0,1.0
29.01.2022,34,62,18,100.0,1.0
02.01.2022,34,62,18,100.0,2.0
12.01.2022,34,62,15,25.0,1.0
02.01.2022,34,62,15,25.0,1.0
23.01.2022,34,62,15,25.0,1.0
02.01.2022,34,62,15,25.0,2.0
12.01.2022,34,62,15,25.0,3.0
25.01.2022,34,63,15,25.0,5.0
30.01.2022,34,63,15,25.0,4.0
05.01.2022,34,63,15,25.0,1.0
02.01.2022,34,63,15,25.0,1.0
02.01.2022,34,63,15,25.0,1.0
19.01.2022,34,63,15,25.0,1.0
09.01.2022,34,63,15,25.0,1.0
07.01.2022,34,63,15,25.0,4.0
10.01.2022,34,63,15,25.0,1.0
12.01.2022,34,63,15,25.0,3.0
20.01.2022,34,64,13,20.0,1.0
24.01.2022,34,64,13,20.0,2.0
25.01.2022,34,64,13,20.0,3.0
04.01.2022,34,64,13,20.0,1.0
23.01.2022,34,64,13,20.0,1.0
25.01.2022,34,64,13,20.0,3.0
09.01.2022,34,65,13,20.0,1.0
19.01.2022,34,65,13,20.0,1.0
27.01.2022,34,65,13,20.0,1.0
11.01.2022,34,65,13,20.0,1.0
19.01.2022,34,65,13,20.0,1.0
19.01.2022,34,65,13,20.0,1.0
21.01.2022,34,65,13,20.0,1.0
22.01.2022,34,65,13,20.0,1.0
27.01.2022,34,65,13,20.0,1.0
28.01.2022,34,65,14,20.0,3.0
14.01.2022,34,65,14,20.0,1.0
19.01.2022,34,65,14,20.0,1.0
25.01.2022,34,65,14,20.0,3.0
09.01.2022,34,66,14,20.0,1.0
12.01.2022,34,66,14,20.0,1.0
14.01.2022,34,66,14,20.0,1.0
15.01.2022,34,66,14,20.0,1.0
25.01.2022,34,66,14,20.0,3.0
